vehicle,fm,Mileage,lh,lc,mc,State
934,12,21369,6.5,485.31,119.66,FL
935,1,2758,1.5,114.24,119.66,MO
936,18,28965,7.7,574.9,322.18,FL
937,2,3264,4.5,383.23,128.21,IL
938,13,28981,4.1,288.62,119.66,TX
939,20,69115,3.6,264.21,136.91,OH
940,0,193,5.7,403.66,119.66,TX
941,21,44956,3.8,271.7,233.09,TX
942,5,14046,1.9,152.39,206.14,CA
943,10,18094,5.1,317.65,119.66,NC
944,14,41882,3.9,266.39,119.66,VA
945,0,2,1.7,123.95,118.36,MD
946,12,25106,1,61.87,119.66,MI
947,11,22587,2.3,173.12,119.66,TX
948,1,318,2.6,203.47,119.66,TX
949,0,45,4.2,255.06,118.36,MI
950,0,11,4.4,299.67,118.36,ID
951,0,26,5,359.03,119.66,TX
952,7,17730,3.9,253.43,119.66,TX
953,16,42766,3.2,239.31,123.38,TX
954,1,470,5.2,373.45,119.66,FL
955,13,32184,0,0,0,VA
956,7,31574,4.9,315.52,119.66,WI
957,21,28542,3.7,289.56,119.66,TX
958,18,28721,4.3,343.6,119.66,NV
959,17,22605,1.2,88.42,175.46,TX
960,22,29256,5.9,410.09,119.66,FL
961,17,49987,3,203.81,119.66,TX
962,5,11367,5,362.14,206.14,FL
963,6,25712,5.3,374.09,460.58,AZ
964,6,20031,20.6,1445.51,3063.24,SC
965,9,21300,0.8,47.2,119.66,SD
966,0,3,0.5,31.73,0,PA
967,11,21138,1,70.97,119.66,FL
968,2,4364,0.7,43.82,119.66,DE
969,1,734,2.2,171.16,206.14,TX
970,7,17813,9,694.8,233.41,MO
971,10,27353,1.6,89.28,119.66,MS
972,13,22756,2.4,223.46,334.15,NJ
973,10,23425,4.7,367.66,128.21,GA
974,12,44345,4.7,333.52,175.46,TX
975,18,19247,2.7,150.01,119.66,NE
976,10,18202,0.7,49.06,154.77,CA
977,12,9800,5.2,384.71,119.66,TX
978,19,22118,1,106.54,206.14,CA
979,7,16408,3.6,249.1,119.66,FL
980,15,16571,4,293.71,119.66,TX
981,7,8366,2.8,219.16,187.99,GA
982,6,9173,2.2,186.34,206.14,CA
983,13,16571,3.3,249.6,175.46,FL
984,1,1907,3,251.48,119.66,UT
985,22,62310,2.8,217.17,119.66,FL
986,21,29185,2,164.41,175.46,CA
987,21,37243,4.2,326.64,175.46,TX
988,3,656,0.9,64.11,138.62,TX
989,17,72292,1.7,86.21,175.46,TX
990,19,35583,1.4,105.1,175.46,TX
991,7,5548,4.6,348.09,261.93,AZ
992,13,24196,2.6,202.98,175.46,TX
993,10,15554,1,76.38,119.66,CA
994,4,5082,1,97.85,132.09,CA
995,17,24196,7.5,534.27,175.46,CA
996,17,34120,2.6,162.16,175.46,OK
997,4,12603,1.3,96.81,119.66,CA
998,22,26844,4.1,299.17,119.66,TX
999,14,35810,3.2,261.78,119.66,AZ
1000,13,34372,3.9,319.06,119.66,AZ
1001,15,47151,1.5,106.74,119.66,TX
1002,7,23890,4.3,281.15,119.66,AL
1003,12,44188,3.9,276.9,119.66,NC
1004,11,34251,3,233.26,175.46,AZ
1005,18,44375,4.9,360.12,119.66,TX
1006,16,21442,1,73.8,203,IL
1007,14,28892,2.2,158.18,377.98,FL
1008,13,20145,2.9,179.61,119.66,AL
1009,10,29179,2.8,184.22,213.28,OK
1010,12,6557,1,56.67,119.66,OR
1011,16,34288,0.8,32.85,119.66,SD
1012,13,19556,2.8,233.33,119.66,CA
1013,2,753,3.9,268.18,128.21,GA
1014,12,22255,2.6,180.71,0,FL
1015,12,65327,0.8,55.68,119.66,LA
1016,13,65985,9.1,698.07,225.54,LA
1017,17,67507,0,0,0,IN
1018,7,17000,7.9,619.32,119.66,AZ
1019,14,28498,2.6,192.4,119.66,VA
1020,13,27904,0.4,30.68,175.46,LA
1021,11,29573,1.8,143.07,0,GA
1022,16,54241,3.8,262.94,119.66,FL
1023,6,16110,0.8,50.78,119.66,FL
