vehicle,fm,Mileage,lh,lc,mc,State
1398,13,5301,0.8,58.75,119.66,NC
1399,17,11065,2,128.21,119.66,AL
1400,1,587,4.3,297.86,119.66,NC
1401,9,14937,2.6,202.24,119.66,MD
1402,1,203,1.2,94.73,12.64,WA
1403,7,10454,1.8,138.01,119.66,LA
1404,17,43898,0.7,57.92,119.66,UT
1405,10,22321,0.7,61.25,41.08,VA
1406,8,6441,4.1,381.76,214.89,HI
1407,2,116,1.8,144,119.66,OR
1408,1,173,2.4,174.62,119.66,NC
1409,2,347,2.2,160.07,119.66,NC
1410,17,41531,2.8,210,322.18,SD
1411,14,31208,0.7,53.67,133.59,LA
1412,0,290,1.8,149.02,140.66,MD
1413,10,72355,5.3,340.08,281.1,LA
1414,4,1625,4.3,288.55,119.66,TX
1415,0,191,2.2,160.08,119.66,NC
1416,5,9725,1.7,134.47,175.46,VA
1417,13,18526,1.1,99.24,119.66,VA
1418,17,31761,4.6,364.48,0,MD
1419,20,91271,1.5,99.88,128.21,GA
1420,1,119,2.5,193.18,175.46,CA
1421,13,17922,4.7,374.25,119.66,MI
1422,-1,622,1.9,156.91,128.21,GA
1423,5,1,2.9,230.02,38.36,MI
1424,16,23824,5.3,535.92,119.66,NY
1425,17,40363,1.2,92.89,119.66,VA
1426,13,28801,5.3,425.26,121.21,CA
1427,5,11565,4.6,442.98,221.71,NJ
1428,9,13730,7.6,612.48,175.46,CA
1429,6,4720,1.2,104.32,119.66,MA
1430,6,11192,11.1,701.63,311.14,TN
1431,14,23553,3.4,289.37,119.66,CO
1432,14,40719,1.9,107.55,176.44,MO
1433,8,4952,0.4,22.8,119.66,PA
1434,14,34402,2.1,142.31,175.46,TX
1435,12,21559,8.1,598.23,820.86,IA
1436,2,329,2.6,185.64,9.73,CT
1437,19,21192,7.1,498.47,260.67,MT
1438,3,4001,1.6,102.49,138.19,MO
1439,1,1597,0.5,33.05,119.66,KS
1440,22,32750,0.8,69.55,119.66,MA
1441,12,37153,1.6,98.5,119.66,FL
1442,3,5412,3.9,219.57,119.66,KY
1443,20,32387,5.2,378.87,322.18,SC
1444,19,45273,7.8,543.35,944.04,TX
1445,6,10493,9.8,536.58,371.24,NY
1446,13,51313,3.1,190.01,119.66,OK
1447,15,41833,1.7,107.78,206.14,OK
1448,10,29132,4.4,343.71,206.14,TX
1449,19,18423,5.1,524.61,175.46,CA
1450,12,62728,0.2,14.04,119.66,TX
1451,12,12891,5.1,432.96,119.66,CA
1452,16,23584,4.8,407.77,175.46,CA
1453,19,33086,2,151.41,119.66,WY
1454,14,27732,1.7,111.69,119.66,MO
1455,12,13304,6.4,341.01,299.63,AR
1456,8,13785,2.5,203.51,119.66,TX
1457,18,12666,0.7,49.67,119.66,NC
1458,17,11977,5.6,397.37,404.78,NC
1459,5,5065,9,557.57,316.56,NC
1460,-1,56,4.4,279.7,0,GA
1461,16,43186,2.5,175.99,119.66,TX
1462,14,8883,1.9,130.15,175.46,CO
1463,3,10471,6.7,444.77,654.28,OK
1464,20,25541,1.6,114.61,119.66,OK
1465,11,46483,2,132.74,119.66,TX
1466,4,7094,2.4,176.41,126.81,GA
1467,16,27723,1.2,83.98,119.66,FL
1468,1,682,1.3,85.49,119.66,TX
1469,11,14521,7.3,517.99,119.66,NC
1470,14,35720,0,0,0,MA
1471,10,14117,4.3,302.72,0,FL
1472,13,14861,4.8,365.89,119.66,NC
1473,9,33194,3.2,220.38,119.66,TX
1474,1,2286,4.7,355.63,119.66,CT
1475,4,15401,0.2,11.84,128.21,GA
1476,20,38966,6.3,468.44,119.66,FL
1477,13,41072,5.3,393.26,119.66,FL
1478,9,31993,0,0,0,OK
1479,5,16535,2.5,196.46,191.97,PA
1480,9,11152,0.6,54.06,145.56,NJ
1481,2,1579,1.2,64.37,119.66,MO
1482,16,16016,1.7,116.12,119.66,PA
1483,10,23118,3.7,229.89,119.66,TX
1484,12,14099,4.1,247.11,937.07,ME
1485,10,7367,2.1,191.3,153.16,NJ
1486,14,15497,6.6,508.82,119.66,FL
1487,-1,226,1.1,75.9,123.06,PA
1488,0,125,2.5,115.95,119.66,WV
1489,8,30595,0.4,24.86,119.66,PA
1490,16,42067,4.1,318.67,175.46,ME
1491,8,7778,1.3,104,123.36,WI
1492,12,3119,0.9,37.66,188,IL
1493,17,13603,0,0,0,WI
1494,3,8541,3.2,151.11,345.98,GA
1495,3,2327,1.6,134.02,119.66,CO
1496,13,13521,2.8,168,118.47,SC
1497,-1,6,0.8,59.76,119.66,CT
1498,19,49050,1,63.09,177.01,KS
1499,14,12162,2.2,143.44,119.66,MO
1500,6,8123,0.2,12.78,119.66,KS
1501,7,6905,1.8,96.87,119.66,PA
1502,6,3296,1.5,80.8,119.66,MT
1503,17,66301,2.3,167.44,121.54,TX
1504,3,200,1.3,92.9,118.47,WI
1505,4,2188,2.4,202.47,225.6,NJ
1506,2,5103,5.5,374,1.85,FL
1507,13,34379,2,104.93,119.66,MO
1508,0,41,3,177.7,118.36,NY
1509,14,31196,4.3,319.47,175.46,TX
1510,6,5777,5.4,398.61,129.24,OK
1511,17,72173,2.7,174.24,119.66,TX
1512,10,20781,4.6,345.34,219.38,OK
1513,19,32124,3,200.59,348.01,TX
1514,4,1392,3.2,248.83,206.14,CA
1515,7,17610,12.9,1186.8,1859.15,NV
1516,17,16612,5.7,422.94,119.66,FL
1517,1,5,2.4,166.83,119.66,TX
1518,6,17334,1.7,137.86,128.21,GA
1519,17,32384,3.3,236.33,215.84,TN
1520,11,40962,2.1,160.02,136.91,ID
1521,1,411,1.5,87.35,128.21,IN
1522,0,5,4.2,384.36,117.18,CA
1523,6,17212,0.7,52.96,131.03,CT
1524,6,17211,10.3,779.35,1583.62,CT
1525,2,447,0,0,0,VA
1526,1,242,5.3,358.81,119.66,OK
1527,5,21014,1.1,88.95,128.21,GA
1528,3,4748,1.9,136.37,119.66,FL
1529,6,15516,2.3,109.92,119.66,NE
1530,13,27474,1.8,135.18,119.66,FL
1531,11,63333,12.7,844.82,0,FL
1532,16,95227,6.8,551.43,128.21,GA
1533,11,16497,5.9,525.69,122.76,MA
1534,0,22,5.7,445.27,119.66,TX
1535,18,7650,5.9,494.63,119.66,CA
1536,13,15080,0,0,0,NJ
1537,8,22584,10.9,859.52,393.09,TX
1538,8,30490,6,450.2,206.14,FL
1539,15,15743,6.4,447.89,175.46,WA
1540,13,20593,1.7,137.86,128.21,GA
1541,11,35033,1.4,97.7,53.49,KS
1542,5,7632,3.1,264.99,119.66,WA
1543,4,7459,8.2,608.44,119.66,FL
1544,20,55202,5.8,413.34,1212.08,OH
1545,6,12350,0.9,69.54,119.66,WA
1546,0,11327,1.7,136.35,346.24,CA
1547,14,40966,2.5,193.78,201,AZ
1548,10,39482,2.9,167.08,175.46,OK
1549,19,29047,2.6,235.35,0,CA
1550,12,50272,8.7,512.12,2107.07,AL
1551,18,56451,6.5,450.45,965.12,FL
1552,3,10853,6.5,440.92,175.46,PA
1553,8,14746,0.7,55.27,119.66,OR
1554,12,15697,0.2,14.4,119.66,FL
1555,4,7522,1.9,158.77,160.34,NJ
1556,14,22911,7,535.56,180.12,FL
1557,7,16963,1.5,93.24,0,SD
1558,7,19539,1.5,93,175.46,NC
1559,6,20257,3.6,269.7,188,IN
1560,19,42000,2.4,269.19,175.46,CA
1561,18,31241,3.5,251.04,119.66,NC
1562,8,10626,3.3,235.85,287.56,KY
1563,9,19006,1.3,94.51,128.21,GA
1564,10,19350,5.1,370.77,345.2,GA
1565,6,14174,0.9,67.47,0,AZ
1566,12,16678,2.2,154.49,174.27,LA
1567,2,2389,3.4,285.03,338.48,UT
1568,10,NA,2.2,150.85,175.46,FL
1569,8,NA,1.2,111.6,143.48,NY
1570,0,NA,0.7,44.43,0,PA
1571,6,NA,1,46.17,119.66,IA
1572,5,2184,1,74.5,44,VA
1573,13,18846,10.9,716.7,373.12,PA
1574,8,13922,1,73,175.46,MN
1575,1,414,6.3,540.32,284.02,MA
1576,21,83836,1.6,129.88,119.66,CA
1577,0,2,0.6,38.08,0,PA
1578,1,187,NA,139.08,118.47,VA
1579,2,1397,NA,461.17,119.66,VT
1580,8,15755,NA,981.25,1030.24,PA
1581,1,1042,2,153.51,23.13,NV
1582,0,1,0.3,19.04,0,PA
1583,9,14558,2.3,162.63,339.9,NY
1584,5,6794,0.4,28.36,119.66,NC
1585,0,2,0.2,12.69,2.81,PA
1586,0,108,0.7,52.93,132.89,PA
1587,9,30640,4.3,297.54,175.46,FL
1588,9,30735,8.9,615.82,858.49,FL
1589,13,19030,1.8,129.7,119.66,NY
1590,0,167,1,75.14,119.66,CT
1591,2,841,1.8,148.79,119.66,MA
1592,0,5,4.4,338.22,117.18,MI
1593,15,34018,4.1,298.75,119.66,FL
1594,19,63904,4.4,339.97,261.16,TX
1595,20,65651,5,386.33,175.46,TX
1596,7,496,1.4,91.51,119.66,LA
1597,7,14422,0.7,48.66,131.7,FL
1598,9,11229,2.6,176.06,119.66,NA
1599,18,14233,4.4,385.77,153.16,NA
1600,6,14155,2,155.4,119.66,NA
1601,1,405,1.4,136.69,119.66,NY
1602,1,444,1.6,141.76,119.66,NY
1603,17,75587,5,421.29,128.21,GA
1604,19,35645,3,189.9,188,GA
1605,9,16481,1.3,85.33,119.66,PA
1606,12,30104,2.1,220.82,17.76,CA
1607,10,27328,0.6,44.69,175.46,TX
1608,16,56013,4.2,281.4,119.66,TX
1609,5,7131,0.2,9.45,119.66,VT
1610,0,115,3.4,261.57,146.25,NJ
1611,13,32894,0.7,49.1,123.69,TN
1612,12,17432,13.2,982.19,651.81,FL
1613,7,15085,4.6,340.71,119.66,AL
1614,15,31720,10,695.09,192.89,FL
1615,2,6740,3.8,205.14,407,FL
1616,9,47314,5.6,356.69,119.66,FL
1617,12,13073,3.9,273.54,132.86,OK
1618,15,29786,0.7,55.78,126.51,KS
1619,1,147,0.8,78.11,119.66,NY
1620,11,15565,33.9,3234.41,2046.03,HI
1621,0,2,2.1,185.08,0,CA
1622,14,17195,4.5,318.1,371.59,IL
1623,13,28125,3.5,306.53,152.05,NJ
1624,23,33011,1.8,129.04,119.66,PA
